date,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,Target
1/1/2017 0:00,6.559,73.8,0.083,0.051,0.119,34.0556962
1/1/2017 0:10,6.414,74.5,0.083,0.07,0.085,29.81468354
1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,29.12810127
1/1/2017 0:30,6.121,75.0,0.083,0.091,0.096,28.22886076
1/1/2017 0:40,5.921,75.7,0.081,0.048,0.085,27.335696199999997
1/1/2017 0:50,5.853,76.9,0.081,0.059,0.108,26.62481013
1/1/2017 1:00,5.641,77.7,0.08,0.048,0.096,25.99898734
1/1/2017 1:10,5.496,78.2,0.085,0.055,0.093,25.446075949999997
1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,24.77772152
1/1/2017 1:30,5.491,77.3,0.082,0.062,0.111,24.27949367
1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,23.89670886
1/1/2017 1:50,5.471,76.7,0.083,0.059,0.126,23.5443038
1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,23.0035443
1/1/2017 2:10,4.968,78.8,0.084,0.07,0.134,22.32911392
1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,22.0921519
1/1/2017 2:30,4.897,79.1,0.083,0.07,0.096,21.90379747
1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,21.68506329
1/1/2017 2:50,5.407,78.5,0.082,0.062,0.163,21.484556960000003
1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,21.1078481
1/1/2017 3:10,5.081,77.7,0.084,0.051,0.13,20.99848101
1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,20.870886080000002
1/1/2017 3:30,5.034,76.9,0.083,0.051,0.185,20.870886080000002
1/1/2017 3:40,4.896,76.6,0.085,0.07,0.137,20.59746835
1/1/2017 3:50,4.805,76.2,0.081,0.059,0.134,20.421265820000002
1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,20.52455696
1/1/2017 4:10,4.901,74.4,0.083,0.07,0.122,20.48202532
1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,20.53063291
1/1/2017 4:30,5.394,71.9,0.081,0.073,0.1,20.512405060000003
